online_order,book_table,votes,location,approx_cost(for two people),listed_in(type),listed_in(city),cuisines_counts,rest_type_counts,Target
Yes,Yes,775,Banashankari,800.0,Buffet,Banashankari,3,1,1
Yes,No,787,Banashankari,800.0,Buffet,Banashankari,3,1,1
Yes,No,918,Banashankari,800.0,Buffet,Banashankari,3,2,1
No,No,88,Banashankari,300.0,Buffet,Banashankari,2,1,0
No,No,166,Basavanagudi,600.0,Buffet,Banashankari,2,1,1
Yes,No,286,Basavanagudi,600.0,Buffet,Banashankari,1,1,1
No,No,8,other,800.0,Buffet,Banashankari,4,1,0
Yes,Yes,2556,Banashankari,600.0,Cafes,Banashankari,3,2,1
Yes,No,324,Banashankari,700.0,Cafes,Banashankari,3,1,1
Yes,No,504,Banashankari,550.0,Cafes,Banashankari,5,1,1
Yes,No,402,Banashankari,500.0,Cafes,Banashankari,1,1,1
Yes,Yes,150,Banashankari,600.0,Cafes,Banashankari,3,1,1
Yes,Yes,164,Banashankari,500.0,Cafes,Banashankari,4,1,1
No,No,424,Banashankari,450.0,Cafes,Banashankari,2,1,1
Yes,No,918,Banashankari,800.0,Cafes,Banashankari,3,2,1
Yes,No,90,Banashankari,650.0,Cafes,Banashankari,1,1,1
Yes,No,133,Banashankari,800.0,Cafes,Banashankari,5,1,1
Yes,No,144,Banashankari,700.0,Cafes,Banashankari,3,1,1
No,No,93,Banashankari,300.0,Cafes,Banashankari,3,1,1
Yes,No,13,Banashankari,400.0,Cafes,Banashankari,4,1,0
Yes,No,62,Banashankari,400.0,Cafes,Banashankari,3,1,0
Yes,No,180,Banashankari,500.0,Cafes,Banashankari,4,1,0
No,No,28,Banashankari,900.0,Cafes,Banashankari,2,1,0
Yes,No,62,Banashankari,600.0,Cafes,Banashankari,4,2,0
No,No,31,Banashankari,300.0,Cafes,Banashankari,1,1,0
No,No,11,Banashankari,600.0,Cafes,Banashankari,2,1,0
Yes,No,75,Banashankari,200.0,Cafes,Banashankari,2,2,1
No,No,4,Banashankari,500.0,Cafes,Banashankari,3,1,0
No,No,23,Banashankari,550.0,Cafes,Banashankari,2,1,0
No,No,148,Basavanagudi,550.0,Cafes,Banashankari,4,2,1
Yes,No,219,Basavanagudi,600.0,Cafes,Banashankari,2,1,1
Yes,No,506,Banashankari,500.0,Delivery,Banashankari,4,1,0
Yes,No,35,Banashankari,500.0,Delivery,Banashankari,2,1,1
Yes,No,172,Banashankari,750.0,Delivery,Banashankari,1,1,1
Yes,No,415,Banashankari,500.0,Delivery,Banashankari,3,1,1
Yes,No,230,Banashankari,650.0,Delivery,Banashankari,1,1,1
Yes,No,91,Banashankari,400.0,Delivery,Banashankari,3,1,0
Yes,No,1647,Banashankari,600.0,Delivery,Banashankari,3,1,1
Yes,No,4884,Jayanagar,750.0,Delivery,Banashankari,4,1,1
Yes,No,17,Banashankari,150.0,Delivery,Banashankari,1,1,1
Yes,No,133,Basavanagudi,200.0,Delivery,Banashankari,2,1,1
No,No,28,Banashankari,300.0,Delivery,Banashankari,1,1,1
Yes,No,286,Banashankari,500.0,Delivery,Banashankari,2,1,1
Yes,No,540,Banashankari,800.0,Delivery,Banashankari,2,1,1
Yes,Yes,2556,Banashankari,600.0,Delivery,Banashankari,3,2,1
No,No,36,Banashankari,400.0,Delivery,Banashankari,3,1,1
Yes,No,244,other,300.0,Delivery,Banashankari,2,1,0
Yes,No,804,other,450.0,Delivery,Banashankari,4,1,1
Yes,No,679,other,850.0,Delivery,Banashankari,2,1,0
Yes,No,245,other,300.0,Delivery,Banashankari,4,1,0
No,No,21,Banashankari,450.0,Delivery,Banashankari,1,1,0
Yes,No,28,other,150.0,Delivery,Banashankari,3,1,1
No,No,345,Banashankari,400.0,Delivery,Banashankari,2,1,1
Yes,No,618,Jayanagar,750.0,Delivery,Banashankari,5,1,1
No,No,1047,Banashankari,450.0,Delivery,Banashankari,5,1,1
Yes,No,627,Banashankari,450.0,Delivery,Banashankari,8,1,1
Yes,No,104,Banashankari,300.0,Delivery,Banashankari,2,1,1
Yes,Yes,354,Banashankari,800.0,Delivery,Banashankari,7,1,1
No,No,55,Banashankari,200.0,Delivery,Banashankari,2,1,0
Yes,No,17,Banashankari,400.0,Delivery,Banashankari,2,1,0
No,No,244,Banashankari,800.0,Delivery,Banashankari,3,1,1
Yes,Yes,163,other,800.0,Delivery,Banashankari,5,1,0
Yes,No,58,Basavanagudi,150.0,Delivery,Banashankari,1,1,1
No,Yes,808,Banashankari,850.0,Delivery,Banashankari,2,1,1
No,No,78,Banashankari,150.0,Delivery,Banashankari,1,2,0
Yes,No,1720,Basavanagudi,400.0,Delivery,Banashankari,4,1,1
Yes,No,34,Jayanagar,100.0,Delivery,Banashankari,1,1,0
No,No,868,Banashankari,1200.0,Delivery,Banashankari,6,1,1
No,No,39,Banashankari,300.0,Delivery,Banashankari,2,1,1
Yes,No,71,Basavanagudi,600.0,Delivery,Banashankari,3,1,0
Yes,No,6,Banashankari,500.0,Delivery,Banashankari,3,2,0
No,No,520,Banashankari,300.0,Delivery,Banashankari,3,1,1
No,No,84,Banashankari,700.0,Delivery,Banashankari,4,1,0
No,No,299,Banashankari,300.0,Delivery,Banashankari,3,1,0
Yes,No,558,Basavanagudi,150.0,Delivery,Banashankari,1,1,1
Yes,No,28,Banashankari,300.0,Delivery,Banashankari,2,1,0
No,No,22,Banashankari,500.0,Delivery,Banashankari,1,1,0
No,No,39,Banashankari,350.0,Delivery,Banashankari,3,1,1
Yes,No,153,other,500.0,Delivery,Banashankari,6,1,1
Yes,No,146,Banashankari,400.0,Delivery,Banashankari,3,1,1
No,No,14,Banashankari,200.0,Delivery,Banashankari,2,1,0
No,No,42,Banashankari,700.0,Delivery,Banashankari,2,1,1
No,No,66,Banashankari,300.0,Delivery,Banashankari,2,1,1
Yes,No,4401,Jayanagar,600.0,Delivery,Banashankari,3,1,1
No,No,31,Banashankari,200.0,Delivery,Banashankari,1,1,0
No,No,7,Banashankari,500.0,Delivery,Banashankari,1,1,0
No,No,21,Banashankari,250.0,Delivery,Banashankari,1,1,0
No,No,9,Banashankari,300.0,Delivery,Banashankari,1,1,0
No,No,283,Banashankari,600.0,Delivery,Banashankari,1,1,0
No,No,62,Banashankari,800.0,Delivery,Banashankari,3,1,0
No,No,64,Banashankari,250.0,Delivery,Banashankari,2,1,1
No,No,39,Banashankari,950.0,Delivery,Banashankari,2,1,0
No,No,65,Banashankari,300.0,Delivery,Banashankari,2,1,0
Yes,No,71,Basavanagudi,400.0,Delivery,Banashankari,4,1,1
No,No,52,Banashankari,300.0,Delivery,Banashankari,1,1,0
No,No,130,Banashankari,200.0,Delivery,Banashankari,1,1,0
No,No,10,Banashankari,300.0,Delivery,Banashankari,2,1,0
No,No,45,Banashankari,400.0,Delivery,Banashankari,1,2,1
No,No,11,Banashankari,600.0,Delivery,Banashankari,2,1,0
No,No,13,Banashankari,300.0,Delivery,Banashankari,2,1,0
No,No,8,Banashankari,300.0,Delivery,Banashankari,4,1,0
No,No,9,Banashankari,300.0,Delivery,Banashankari,1,1,0
No,No,4,Banashankari,300.0,Delivery,Banashankari,1,1,0
No,No,29,Banashankari,150.0,Delivery,Banashankari,1,1,0
No,No,8,Banashankari,400.0,Delivery,Banashankari,2,1,0
No,No,30,Banashankari,1000.0,Delivery,Banashankari,2,1,0
Yes,No,201,Banashankari,300.0,Delivery,Banashankari,4,1,1
No,No,7,Banashankari,200.0,Delivery,Banashankari,3,1,0
No,No,6,Banashankari,100.0,Delivery,Banashankari,2,1,0
No,No,17,Banashankari,200.0,Delivery,Banashankari,2,1,0
No,No,25,Banashankari,200.0,Delivery,Banashankari,2,1,0
No,No,8,Banashankari,100.0,Delivery,Banashankari,1,1,0
Yes,No,771,Banashankari,450.0,Delivery,Banashankari,3,1,1
No,No,98,Banashankari,800.0,Delivery,Banashankari,2,1,0
Yes,No,47,Basavanagudi,200.0,Delivery,Banashankari,1,1,1
Yes,Yes,175,Jayanagar,500.0,Delivery,Banashankari,4,1,1
Yes,No,58,Banashankari,300.0,Delivery,Banashankari,4,1,1
Yes,No,540,Basavanagudi,650.0,Delivery,Banashankari,4,1,1
Yes,No,124,other,400.0,Delivery,Banashankari,4,1,1
Yes,No,340,Banashankari,500.0,Delivery,Banashankari,3,2,1
Yes,No,505,Banashankari,450.0,Delivery,Banashankari,2,1,1
Yes,No,438,Jayanagar,500.0,Delivery,Banashankari,5,1,1
Yes,No,264,other,750.0,Delivery,Banashankari,4,1,0
Yes,No,169,other,150.0,Delivery,Banashankari,3,1,1
Yes,No,67,other,250.0,Delivery,Banashankari,2,1,0
Yes,No,97,Jayanagar,350.0,Delivery,Banashankari,3,1,0
Yes,No,12,Basavanagudi,300.0,Delivery,Banashankari,1,2,0
Yes,No,12,Banashankari,300.0,Delivery,Banashankari,1,1,0
Yes,No,195,Jayanagar,800.0,Delivery,Banashankari,3,1,0
Yes,No,13,Basavanagudi,300.0,Delivery,Banashankari,2,2,0
Yes,No,228,Jayanagar,400.0,Delivery,Banashankari,2,1,1
Yes,No,70,Basavanagudi,150.0,Delivery,Banashankari,2,1,1
Yes,Yes,364,Jayanagar,1200.0,Delivery,Banashankari,4,1,1
Yes,No,107,Basavanagudi,150.0,Delivery,Banashankari,2,1,0
Yes,No,167,other,300.0,Delivery,Banashankari,4,1,0
Yes,No,115,Banashankari,400.0,Delivery,Banashankari,2,1,1
Yes,No,27,Banashankari,400.0,Delivery,Banashankari,2,2,0
Yes,No,57,Banashankari,200.0,Delivery,Banashankari,1,1,0
Yes,No,120,Banashankari,250.0,Delivery,Banashankari,3,1,1
Yes,No,15,Basavanagudi,400.0,Delivery,Banashankari,1,1,1
Yes,No,64,Basavanagudi,500.0,Delivery,Banashankari,7,1,1
Yes,No,66,Banashankari,150.0,Delivery,Banashankari,1,1,0
Yes,No,290,Banashankari,450.0,Delivery,Banashankari,4,1,0
Yes,No,233,Basavanagudi,200.0,Delivery,Banashankari,1,1,1
Yes,No,115,other,250.0,Delivery,Banashankari,2,1,1
Yes,No,119,Banashankari,700.0,Delivery,Banashankari,4,1,0
Yes,Yes,291,Jayanagar,650.0,Delivery,Banashankari,5,1,1
Yes,No,155,Jayanagar,300.0,Delivery,Banashankari,2,1,1
Yes,No,305,other,700.0,Delivery,Banashankari,1,1,1
Yes,No,46,Banashankari,500.0,Delivery,Banashankari,3,1,0
Yes,No,45,other,350.0,Delivery,Banashankari,3,1,0
Yes,No,38,Banashankari,150.0,Delivery,Banashankari,1,1,1
Yes,No,441,Banashankari,400.0,Delivery,Banashankari,4,1,1
Yes,No,25,Basavanagudi,100.0,Delivery,Banashankari,1,1,1
Yes,No,630,Jayanagar,200.0,Delivery,Banashankari,3,1,1
Yes,No,25,other,150.0,Delivery,Banashankari,1,1,1
Yes,No,160,other,300.0,Delivery,Banashankari,1,1,1
Yes,No,287,Banashankari,350.0,Delivery,Banashankari,1,1,1
Yes,No,11,Basavanagudi,100.0,Delivery,Banashankari,1,1,0
Yes,No,402,Banashankari,500.0,Delivery,Banashankari,1,1,1
Yes,No,469,Basavanagudi,750.0,Delivery,Banashankari,3,1,1
Yes,No,511,other,550.0,Delivery,Banashankari,8,1,0
Yes,No,57,Banashankari,200.0,Delivery,Banashankari,4,1,1
Yes,No,14,Banashankari,300.0,Delivery,Banashankari,1,1,0
Yes,No,264,Banashankari,200.0,Delivery,Banashankari,1,1,1
Yes,No,62,Banashankari,400.0,Delivery,Banashankari,3,1,0
Yes,No,693,Banashankari,750.0,Delivery,Banashankari,2,1,1
Yes,No,242,Jayanagar,650.0,Delivery,Banashankari,4,1,1
Yes,No,27,Basavanagudi,250.0,Delivery,Banashankari,1,1,0
Yes,No,163,Basavanagudi,500.0,Delivery,Banashankari,4,1,1
Yes,No,191,Basavanagudi,250.0,Delivery,Banashankari,2,1,1
Yes,No,32,Banashankari,150.0,Delivery,Banashankari,4,1,0
Yes,No,247,Banashankari,500.0,Delivery,Banashankari,1,1,0
Yes,Yes,2339,Jayanagar,1500.0,Delivery,Banashankari,3,1,1
Yes,No,337,Jayanagar,300.0,Delivery,Banashankari,2,1,1
Yes,No,135,Banashankari,800.0,Delivery,Banashankari,3,1,1
Yes,No,172,other,700.0,Delivery,Banashankari,2,1,0
Yes,No,105,Banashankari,700.0,Delivery,Banashankari,1,1,0
Yes,No,504,Banashankari,550.0,Delivery,Banashankari,5,1,1
Yes,No,36,other,200.0,Delivery,Banashankari,2,1,0
Yes,No,39,other,300.0,Delivery,Banashankari,1,1,0
Yes,No,5,other,500.0,Delivery,Banashankari,4,1,0
Yes,Yes,1129,Jayanagar,1300.0,Delivery,Banashankari,2,1,1
Yes,No,56,other,350.0,Delivery,Banashankari,2,1,1
Yes,No,860,Banashankari,500.0,Delivery,Banashankari,2,1,1
Yes,No,412,Jayanagar,700.0,Delivery,Banashankari,4,1,1
Yes,Yes,142,Jayanagar,1000.0,Delivery,Banashankari,3,1,1
Yes,No,23,Jayanagar,400.0,Delivery,Banashankari,1,1,0
Yes,No,143,Jayanagar,750.0,Delivery,Banashankari,4,1,0
Yes,Yes,80,Jayanagar,500.0,Delivery,Banashankari,6,1,0
Yes,No,16,JP Nagar,400.0,Delivery,Banashankari,1,1,0
Yes,No,181,Jayanagar,250.0,Delivery,Banashankari,2,1,1
Yes,No,70,Jayanagar,200.0,Delivery,Banashankari,2,1,1
Yes,No,164,Basavanagudi,600.0,Delivery,Banashankari,2,1,1
Yes,No,58,other,650.0,Delivery,Banashankari,3,1,0
No,No,148,Basavanagudi,550.0,Delivery,Banashankari,4,2,1
No,No,206,Basavanagudi,450.0,Delivery,Banashankari,2,1,1
No,No,16,other,300.0,Delivery,Banashankari,1,1,0
No,No,217,Basavanagudi,450.0,Delivery,Banashankari,5,1,0
No,No,46,Basavanagudi,450.0,Delivery,Banashankari,4,1,0
No,No,148,Basavanagudi,150.0,Delivery,Banashankari,2,1,1
No,No,30,Basavanagudi,250.0,Delivery,Banashankari,1,1,0
No,No,8,other,800.0,Delivery,Banashankari,4,1,0
No,No,4,Jayanagar,250.0,Delivery,Banashankari,1,1,0
No,No,15,Basavanagudi,400.0,Delivery,Banashankari,1,2,0
Yes,No,9,other,200.0,Delivery,Banashankari,1,1,0
Yes,No,31,other,300.0,Delivery,Banashankari,2,1,0
Yes,No,177,Jayanagar,700.0,Delivery,Banashankari,5,1,0
Yes,No,22,Basavanagudi,250.0,Delivery,Banashankari,2,1,0
Yes,No,10,other,100.0,Delivery,Banashankari,2,1,0
Yes,No,136,Banashankari,600.0,Delivery,Banashankari,2,1,0
Yes,No,35,other,250.0,Delivery,Banashankari,2,1,0
Yes,No,185,Jayanagar,200.0,Delivery,Banashankari,2,1,1
Yes,No,17,Jayanagar,900.0,Delivery,Banashankari,2,1,0
Yes,No,155,other,400.0,Delivery,Banashankari,4,1,1
Yes,No,42,Banashankari,300.0,Delivery,Banashankari,3,1,1
Yes,No,286,Basavanagudi,600.0,Delivery,Banashankari,1,1,1
Yes,No,160,Banashankari,700.0,Delivery,Banashankari,2,1,1
Yes,No,59,Banashankari,750.0,Delivery,Banashankari,2,1,1
Yes,No,90,Jayanagar,500.0,Delivery,Banashankari,5,1,0
Yes,No,51,other,350.0,Delivery,Banashankari,2,1,0
Yes,No,89,Jayanagar,200.0,Delivery,Banashankari,2,1,1
Yes,No,18,Banashankari,250.0,Delivery,Banashankari,2,1,0
Yes,No,40,Basavanagudi,600.0,Delivery,Banashankari,4,1,1
Yes,No,35,Basavanagudi,200.0,Delivery,Banashankari,1,1,0
Yes,No,89,Jayanagar,250.0,Delivery,Banashankari,3,1,0
Yes,No,11,Basavanagudi,150.0,Delivery,Banashankari,2,1,0
Yes,No,62,Banashankari,600.0,Delivery,Banashankari,4,2,0
Yes,No,33,Jayanagar,300.0,Delivery,Banashankari,1,1,1
Yes,No,32,Jayanagar,250.0,Delivery,Banashankari,2,1,1
Yes,No,139,Jayanagar,550.0,Delivery,Banashankari,3,1,1
Yes,No,154,other,300.0,Delivery,Banashankari,1,1,0
Yes,No,14,Banashankari,350.0,Delivery,Banashankari,2,1,0
Yes,No,237,Banashankari,200.0,Delivery,Banashankari,2,1,0
Yes,No,388,Banashankari,650.0,Delivery,Banashankari,4,1,1
Yes,No,128,other,500.0,Delivery,Banashankari,4,1,1
Yes,Yes,1875,Jayanagar,1200.0,Delivery,Banashankari,3,1,1
Yes,No,90,Banashankari,650.0,Delivery,Banashankari,1,1,1
Yes,No,7,other,250.0,Delivery,Banashankari,3,1,0
Yes,No,38,other,400.0,Delivery,Banashankari,2,1,0
Yes,No,179,Banashankari,600.0,Delivery,Banashankari,1,1,1
Yes,No,43,Basavanagudi,250.0,Delivery,Banashankari,2,1,1
Yes,No,275,Basavanagudi,100.0,Delivery,Banashankari,1,1,1
Yes,No,323,Jayanagar,850.0,Delivery,Banashankari,3,1,0
Yes,No,28,other,400.0,Delivery,Banashankari,3,1,0
Yes,No,18,Basavanagudi,200.0,Delivery,Banashankari,2,1,1
Yes,No,6,Basavanagudi,100.0,Delivery,Banashankari,2,1,0
Yes,No,322,Jayanagar,400.0,Delivery,Banashankari,1,1,1
Yes,No,157,Jayanagar,450.0,Delivery,Banashankari,3,1,0
Yes,No,543,Basavanagudi,300.0,Delivery,Banashankari,2,1,1
Yes,No,180,Banashankari,500.0,Delivery,Banashankari,4,1,0
Yes,No,444,Basavanagudi,100.0,Delivery,Banashankari,1,1,1
Yes,No,134,Jayanagar,400.0,Delivery,Banashankari,3,1,1
Yes,No,577,Jayanagar,900.0,Delivery,Banashankari,4,1,1
Yes,No,60,Banashankari,200.0,Delivery,Banashankari,4,1,1
Yes,No,144,Jayanagar,550.0,Delivery,Banashankari,3,1,1
Yes,No,787,Banashankari,800.0,Delivery,Banashankari,3,1,1
Yes,No,16,Basavanagudi,200.0,Delivery,Banashankari,1,1,0
Yes,No,84,Banashankari,250.0,Delivery,Banashankari,3,1,0
Yes,No,95,Banashankari,150.0,Delivery,Banashankari,2,1,0
Yes,Yes,349,Banashankari,1200.0,Delivery,Banashankari,6,1,1
Yes,No,248,other,400.0,Delivery,Banashankari,2,1,0
Yes,No,216,Basavanagudi,500.0,Delivery,Banashankari,4,1,1
Yes,No,324,Banashankari,700.0,Delivery,Banashankari,3,1,1
Yes,No,231,other,400.0,Delivery,Banashankari,5,1,0
Yes,No,102,other,400.0,Delivery,Banashankari,4,1,0
Yes,No,133,Banashankari,800.0,Delivery,Banashankari,5,1,1
Yes,No,45,Banashankari,800.0,Delivery,Banashankari,3,1,0
Yes,No,149,other,300.0,Delivery,Banashankari,3,1,1
Yes,No,75,Banashankari,200.0,Delivery,Banashankari,2,1,1
Yes,No,53,other,600.0,Delivery,Banashankari,2,1,1
Yes,Yes,815,Jayanagar,900.0,Delivery,Banashankari,2,1,1
Yes,Yes,633,Banashankari,800.0,Delivery,Banashankari,2,1,1
Yes,No,56,Jayanagar,400.0,Delivery,Banashankari,3,1,0
Yes,No,82,Banashankari,300.0,Delivery,Banashankari,4,1,0
Yes,No,35,Jayanagar,200.0,Delivery,Banashankari,1,1,0
Yes,No,20,Basavanagudi,150.0,Delivery,Banashankari,2,1,0
Yes,No,14,other,250.0,Delivery,Banashankari,3,1,0
Yes,No,70,Banashankari,400.0,Delivery,Banashankari,3,1,1
Yes,No,91,Jayanagar,300.0,Delivery,Banashankari,3,1,1
Yes,No,45,Jayanagar,200.0,Delivery,Banashankari,1,1,0
Yes,No,7,Banashankari,250.0,Delivery,Banashankari,2,1,0
Yes,No,28,Banashankari,150.0,Delivery,Banashankari,1,1,1
Yes,No,24,Banashankari,600.0,Delivery,Banashankari,2,1,0
Yes,No,36,Basavanagudi,200.0,Delivery,Banashankari,2,1,1
Yes,No,11,Jayanagar,200.0,Delivery,Banashankari,1,1,0
Yes,No,77,other,650.0,Delivery,Banashankari,3,1,1
Yes,No,8,Banashankari,100.0,Delivery,Banashankari,2,1,0
Yes,No,14,Jayanagar,100.0,Delivery,Banashankari,1,1,0
Yes,No,210,other,600.0,Delivery,Banashankari,3,1,1
Yes,No,130,Jayanagar,650.0,Delivery,Banashankari,3,1,1
Yes,No,30,Jayanagar,100.0,Delivery,Banashankari,2,1,1
Yes,No,144,Banashankari,700.0,Delivery,Banashankari,3,1,1
Yes,No,11,Basavanagudi,800.0,Delivery,Banashankari,3,1,0
Yes,No,133,Jayanagar,700.0,Delivery,Banashankari,4,1,0
Yes,No,136,Jayanagar,350.0,Delivery,Banashankari,2,1,1
Yes,No,4,Basavanagudi,200.0,Delivery,Banashankari,3,1,0
Yes,No,11,Basavanagudi,200.0,Delivery,Banashankari,4,2,0
Yes,No,74,Basavanagudi,300.0,Delivery,Banashankari,3,1,1
Yes,No,30,Basavanagudi,300.0,Delivery,Banashankari,3,1,0
Yes,No,7,Basavanagudi,200.0,Delivery,Banashankari,2,1,0
Yes,No,75,Banashankari,200.0,Delivery,Banashankari,2,2,1
Yes,No,54,Basavanagudi,600.0,Delivery,Banashankari,2,1,0
Yes,No,23,Basavanagudi,100.0,Delivery,Banashankari,2,1,0
Yes,No,119,Banashankari,400.0,Delivery,Banashankari,2,1,0
Yes,No,73,Banashankari,400.0,Delivery,Banashankari,2,1,0
Yes,No,58,Basavanagudi,400.0,Delivery,Banashankari,2,1,0
Yes,No,129,Banashankari,600.0,Delivery,Banashankari,3,1,0
Yes,No,24,Banashankari,250.0,Delivery,Banashankari,3,1,0
Yes,No,175,other,400.0,Delivery,Banashankari,2,1,0
Yes,No,21,other,300.0,Delivery,Banashankari,1,1,0
Yes,No,41,other,400.0,Delivery,Banashankari,3,1,0
Yes,No,35,Jayanagar,300.0,Delivery,Banashankari,2,1,0
Yes,No,176,Basavanagudi,800.0,Delivery,Banashankari,3,1,1
Yes,No,45,Banashankari,300.0,Delivery,Banashankari,3,1,0
Yes,No,47,Jayanagar,400.0,Delivery,Banashankari,3,2,0
Yes,Yes,36,Jayanagar,650.0,Delivery,Banashankari,4,1,0
Yes,No,52,other,400.0,Delivery,Banashankari,2,2,1
Yes,No,123,Banashankari,200.0,Delivery,Banashankari,1,1,0
Yes,No,59,other,700.0,Delivery,Banashankari,1,1,0
Yes,No,4,other,300.0,Delivery,Banashankari,2,1,0
Yes,No,101,Banashankari,400.0,Delivery,Banashankari,2,1,1
Yes,No,54,Banashankari,400.0,Delivery,Banashankari,3,2,0
Yes,No,22,Basavanagudi,200.0,Delivery,Banashankari,1,1,0
Yes,No,31,Banashankari,250.0,Delivery,Banashankari,2,1,0
Yes,No,29,other,500.0,Delivery,Banashankari,3,1,0
Yes,No,6,Jayanagar,100.0,Delivery,Banashankari,1,1,0
Yes,No,22,Basavanagudi,250.0,Delivery,Banashankari,3,1,0
Yes,No,11,Banashankari,500.0,Delivery,Banashankari,1,1,0
Yes,No,101,Basavanagudi,150.0,Delivery,Banashankari,1,1,1
Yes,Yes,442,Jayanagar,1200.0,Delivery,Banashankari,4,2,1
Yes,No,155,Basavanagudi,400.0,Delivery,Banashankari,2,1,0
Yes,No,12,Banashankari,150.0,Delivery,Banashankari,3,2,0
Yes,No,15,Basavanagudi,100.0,Delivery,Banashankari,1,1,0
Yes,No,10,Basavanagudi,200.0,Delivery,Banashankari,1,1,0
Yes,No,25,Banashankari,300.0,Delivery,Banashankari,1,1,1
Yes,No,61,Banashankari,300.0,Delivery,Banashankari,2,1,1
Yes,No,23,other,300.0,Delivery,Banashankari,3,1,0
Yes,No,25,Basavanagudi,350.0,Delivery,Banashankari,3,1,1
Yes,No,40,other,200.0,Delivery,Banashankari,4,1,0
Yes,No,4,Basavanagudi,100.0,Delivery,Banashankari,1,1,0
Yes,No,8,Basavanagudi,150.0,Delivery,Banashankari,2,1,0
Yes,No,32,other,300.0,Delivery,Banashankari,2,1,0
Yes,No,10,Basavanagudi,200.0,Delivery,Banashankari,1,1,0
Yes,No,6,Basavanagudi,300.0,Delivery,Banashankari,2,1,0
Yes,No,53,Jayanagar,250.0,Delivery,Banashankari,3,1,1
Yes,No,67,other,700.0,Delivery,Banashankari,1,1,0
Yes,No,23,Jayanagar,250.0,Delivery,Banashankari,1,1,0
Yes,No,19,Banashankari,200.0,Delivery,Banashankari,2,1,0
Yes,No,24,Banashankari,300.0,Delivery,Banashankari,3,1,0
Yes,No,232,Jayanagar,400.0,Delivery,Banashankari,2,1,1
Yes,No,221,Jayanagar,700.0,Delivery,Banashankari,1,1,1
Yes,Yes,1063,Jayanagar,1200.0,Delivery,Banashankari,4,2,1
Yes,No,93,Basavanagudi,200.0,Delivery,Banashankari,1,1,0
Yes,No,233,Jayanagar,800.0,Delivery,Banashankari,4,1,1
Yes,No,211,Jayanagar,500.0,Delivery,Banashankari,5,1,1
Yes,No,1778,Jayanagar,200.0,Delivery,Banashankari,4,1,1
Yes,No,218,other,800.0,Delivery,Banashankari,3,1,0
Yes,No,514,Basavanagudi,600.0,Delivery,Banashankari,3,1,0
Yes,Yes,866,Jayanagar,900.0,Delivery,Banashankari,2,1,1
Yes,No,96,other,400.0,Delivery,Banashankari,1,1,0
Yes,No,80,Banashankari,250.0,Delivery,Banashankari,2,1,0
Yes,No,73,Basavanagudi,300.0,Delivery,Banashankari,3,1,1
Yes,No,84,Jayanagar,400.0,Delivery,Banashankari,2,1,1
Yes,No,88,Banashankari,350.0,Delivery,Banashankari,4,1,0
Yes,No,179,Banashankari,600.0,Delivery,Banashankari,3,1,0
Yes,No,61,Basavanagudi,100.0,Delivery,Banashankari,1,1,1
Yes,No,128,other,450.0,Delivery,Banashankari,4,1,0
Yes,No,339,Jayanagar,400.0,Delivery,Banashankari,3,1,1
Yes,No,449,Basavanagudi,100.0,Delivery,Banashankari,1,1,1
Yes,No,210,Jayanagar,150.0,Delivery,Banashankari,1,2,1
Yes,No,57,Basavanagudi,200.0,Delivery,Banashankari,4,1,0
Yes,No,213,Banashankari,400.0,Delivery,Banashankari,5,1,0
Yes,No,208,Jayanagar,250.0,Delivery,Banashankari,3,2,0
Yes,No,70,Banashankari,100.0,Delivery,Banashankari,1,1,1
Yes,No,219,Basavanagudi,600.0,Delivery,Banashankari,2,1,1
Yes,No,59,Banashankari,200.0,Delivery,Banashankari,2,1,0
Yes,No,10,Banashankari,500.0,Delivery,Banashankari,2,1,0
Yes,No,9,other,400.0,Delivery,Banashankari,2,1,0
Yes,No,124,other,750.0,Delivery,Banashankari,4,1,0
Yes,No,19,other,100.0,Delivery,Banashankari,1,1,0
Yes,No,4,Basavanagudi,150.0,Delivery,Banashankari,2,1,0
Yes,No,4,other,150.0,Delivery,Banashankari,2,1,0
Yes,No,21,Basavanagudi,200.0,Delivery,Banashankari,2,1,1
Yes,No,8,Banashankari,250.0,Delivery,Banashankari,3,2,0
Yes,No,10,other,400.0,Delivery,Banashankari,3,1,0
Yes,No,10,other,400.0,Delivery,Banashankari,1,1,0
Yes,No,4,other,200.0,Delivery,Banashankari,3,1,0
Yes,No,4,Banashankari,350.0,Delivery,Banashankari,1,1,0
Yes,No,16,JP Nagar,500.0,Delivery,Banashankari,3,2,0
Yes,No,12,Jayanagar,300.0,Delivery,Banashankari,2,1,0
Yes,No,14,Jayanagar,600.0,Delivery,Banashankari,2,1,1
Yes,No,0,Jayanagar,300.0,Delivery,Banashankari,7,1,0
Yes,No,5,other,199.0,Delivery,Banashankari,4,2,0
Yes,No,5,Basavanagudi,800.0,Delivery,Banashankari,4,2,0
Yes,No,15,Banashankari,250.0,Delivery,Banashankari,4,1,0
Yes,No,4,Basavanagudi,500.0,Delivery,Banashankari,2,1,0
Yes,No,17,Basavanagudi,300.0,Delivery,Banashankari,2,1,0
Yes,No,6,Banashankari,500.0,Delivery,Banashankari,2,1,0
Yes,No,10,Banashankari,100.0,Delivery,Banashankari,1,1,0
Yes,Yes,775,Banashankari,800.0,Delivery,Banashankari,3,1,1
